id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17247489,Handsome 3BR in Hyde Park,12243051,Sonder,,Hyde Park,41.796963624251724,-87.6059079594149,Entire home/apt,139,2,4,2017-04-21,1.82,56,81
7728010,Private Garden Suite,25409475,John,,Hyde Park,41.79056226386646,-87.59013173193024,Private room,105,1,54,2017-04-10,2.56,2,307
18356019,Bright & Spacious Room in Hyde Park,52255276,Gloria,,Hyde Park,41.79511013630614,-87.58566099956018,Private room,50,1,0,,,3,6
14608228,Your Charming Hyde Park Hideaway,90647587,Keith,,Hyde Park,41.802244907477146,-87.59765292048809,Entire home/apt,88,1,8,2017-05-08,1.45,1,98
13379881,1 minute to Medical&UChi/20min downtown/Cozy Stay!,62699778,Aygul,,Hyde Park,41.79192719240669,-87.60527752994831,Private room,45,1,60,2017-04-22,5.57,1,327
6524346,Private Floor in Vintage Home,34121377,Elaine,,Hyde Park,41.79118593728585,-87.59098876640904,Private room,75,1,6,2015-08-26,0.26,1,0
13671653,In the heart of Hyde Park,33243445,Carolina,,Hyde Park,41.798447150602314,-87.58922627847676,Entire home/apt,110,1,29,2017-04-26,2.97,1,274
1746734,Stylish One Bedroom Apt In HydePark,9192868,Rebecca,,Hyde Park,41.796576891956846,-87.5925874732502,Entire home/apt,100,2,196,2017-05-04,4.53,1,279
7022457,Vintage Charm Near the Lakefront,36739182,Natalia,,Hyde Park,41.80098550333825,-87.58577104707817,Entire home/apt,100,1,28,2017-04-19,1.24,1,269
16378280,"Modern, Downtown Hyde Park 1 BR Apt (SmartHome)",24072634,Azeez,,Hyde Park,41.80032009224718,-87.60472777378942,Entire home/apt,117,1,19,2017-05-07,4.19,1,329
16836657,LAKE FRONT HYDE PARK,84719667,Mr & Mrs David,,Hyde Park,41.801107222010785,-87.58637507939434,Entire home/apt,43,1,14,2017-04-29,4.52,1,314
3319109,Hyde Park Rooms3,16752312,Sue,,Hyde Park,41.800711358198924,-87.59120322026686,Private room,45,2,43,2016-10-23,1.25,2,341
13342206,Hyde Park Loft Apartment,58914390,Leslee,,Hyde Park,41.79770611363844,-87.60162592049673,Entire home/apt,150,3,13,2017-01-02,1.31,2,326
3517984,Private room w/bath in urban canopy,11294056,Amanda,,Hyde Park,41.799802178234536,-87.59381477105086,Private room,75,1,124,2017-04-28,3.72,1,277
18375776,Large & Charming Private Room,52255276,Gloria,,Hyde Park,41.8022472593244,-87.5925606065244,Private room,45,1,1,2017-04-28,1,3,4
12870133,Ocean Room UofC Campus,9728432,Vilay,,Hyde Park,41.80131415902382,-87.59908757748103,Private room,70,1,25,2017-04-15,2.53,4,352
17964491,A Studio with a View,123362604,Marielle,,Hyde Park,41.801673198926714,-87.58727955718854,Entire home/apt,110,1,6,2017-05-07,5.45,1,13
2989466,Spacious Studio in Hyde Park,15243916,Tyra,,Hyde Park,41.796288417124536,-87.59162371548426,Entire home/apt,109,2,7,2017-05-05,2.36,2,324
13349167,Hyde Park Free airport pickup car rental Привет 欢迎,4769133,Ran,,Hyde Park,41.79940055605424,-87.59005149855663,Private room,95,1,9,2017-04-01,0.79,1,359
12868626,Cacao Room UofC Campus,9728432,Vilay,,Hyde Park,41.80079870628906,-87.59872585215753,Private room,70,1,33,2017-05-07,3.34,4,356
16360610,Cozy One Bedroom with Porch,33107506,Ashley,,Hyde Park,41.797358020957,-87.59584841814588,Entire home/apt,95,1,1,2017-04-01,0.75,1,151
18138101,Sunny Oasis in Historic Hyde Park,48245612,Molly,,Hyde Park,41.801056171531755,-87.58886863709165,Entire home/apt,112,25,0,,,1,1
13844204,Matcha Room Hyde Park,9728432,Vilay,,Hyde Park,41.801739055254274,-87.60060314670127,Private room,70,1,49,2017-04-23,4.97,4,348
15701532,Private Room in Luxury Duplex Apartment,9691850,Joseph,,Hyde Park,41.801088038433825,-87.59862733191613,Private room,31,7,1,2017-04-29,1,3,53
8182137,"Quiet, sunny Hyde Park room!",10571648,Chris,,Hyde Park,41.801479926816185,-87.59825400525268,Private room,55,2,15,2016-11-13,0.78,1,0
15334917,Hyde Park Studio Apt ($75/night for 31 days),8297284,T. Renee,,Hyde Park,41.800975389418426,-87.59214621526147,Entire home/apt,85,7,3,2017-05-03,3,2,181
4706356,Sunny Greystone House in Hyde Park,8143713,Jeremiah,,Hyde Park,41.79817204910084,-87.59621333854336,Entire home/apt,250,2,6,2016-08-09,0.26,2,293
14667705,Lovely Hyde Park condo,165046,Tanya,,Hyde Park,41.80108854912568,-87.59723161115144,Private room,99,1,0,,,1,202
18255651,"Spacious, Comfortable & Convenient",126174707,Niketa,,Hyde Park,41.80104965719632,-87.58702889229403,Entire home/apt,123,1,0,,,1,355
15339220,Welcome to Hyde Park's University of Chicago!,97793828,Gregory,,Hyde Park,41.79101081544911,-87.59031310953208,Entire home/apt,99,1,34,2017-05-06,4.90,1,109
10765065,Private Room w/ Bath near U of C,13893889,Meghan,,Hyde Park,41.80198638183301,-87.60464503280578,Private room,90,2,8,2016-11-07,0.56,1,136
15471122,Luxury Duplex Apartment - Hyde Park (Private Room),9691850,Joseph,,Hyde Park,41.80217665832898,-87.59731252044585,Private room,45,7,4,2016-12-26,0.66,3,235
5297152,Fresh and Sunny Bed & Bath by UofC,9499059,Bennett,,Hyde Park,41.79717848748379,-87.59734716678624,Private room,70,2,102,2017-03-25,3.92,2,274
1837153,Musician's Quarters,9601147,Chester,,Hyde Park,41.7996266917381,-87.59476783997493,Entire home/apt,85,3,24,2016-09-26,0.59,1,306
12714714,Cozy Studio Apt. Home--5 Min. to U of C,69130426,Charla,,Hyde Park,41.79770172035238,-87.60196066398744,Entire home/apt,60,2,35,2017-05-07,3.63,1,308
13065303,Historic Hyde Park Apartment,2006711,Amanda Jane,,Hyde Park,41.80184347427958,-87.59192324647643,Entire home/apt,650,3,4,2016-07-21,0.36,1,8
17000460,Newly Renovated 4BR/2BA Condo @ Historic Hyde Park,113922654,Alan,,Hyde Park,41.799047233470915,-87.60390730042909,Private room,149,2,9,2017-04-26,4.50,1,71
18549893,"Come, spend the summer near the Obama's.",14204845,Soraia,,Hyde Park,41.79633313245411,-87.59808352222807,Entire home/apt,60,4,0,,,1,146
12308104,"Cozy room, private bath, Hyde Park",18607361,Frank (And Meridith),,Hyde Park,41.80156563014309,-87.59705164548329,Private room,40,1,75,2017-05-05,5.73,1,31
